Measure,Value
Minimum,179.952
Maximum,238.23
Mean,201.4849
Median (Q2),197.621
Mode,197.621
Standard deviation,14.574023047459432
Variance,212.40214778787873
Q1,189.84983333333332
Q3,211.26383333333334
IQR,21.414000000000016
