Measure,Value
Minimum,10749.705535924617
Maximum,13818.396265230103
Mean,12693.621095206405
Median (Q2),12895.823873080266
Mode,12895.823873080266
Standard deviation,780.9243737983606
Variance,609842.8775923618
Q1,12166.593688198398
Q3,13290.748799913594
IQR,1124.1551117151957
