Measure,Value
Minimum,10573.454224908703
Maximum,13997.699386503067
Mean,12563.898616959694
Median (Q2),12746.241012526702
Mode,12746.241012526702
Standard deviation,869.8245066528842
Variance,756594.6723739334
Q1,11923.081384561818
Q3,13267.93864277218
IQR,1344.8572582103625
