Measure,Value
Minimum,182.287
Maximum,234.324
Mean,199.21701000000004
Median (Q2),195.328
Mode,195.328
Standard deviation,12.793980437859965
Variance,163.68593544434344
Q1,189.52416666666667
Q3,207.04158333333334
IQR,17.517416666666662
